movieid,title,genres,director
1,Your Lie in April,animation|drama|music,Takehiko Shinjō
2,Your Name,animation|romance|fantasy,Makoto Shinkai
3,It's Okay to Not Be Okay,comedy|drama|romance,Park Shin-woo
4,Doctor Strange in the Multiverse of Madness,action|adventure|fantasy,Sam Raimi
5,Moana,animation|adventure|comedy,Ron Clements
6,Coco,animation|adventure|comedy,Lee Unkrich
7,Avengers: Infinity War,action|adventure|sci-fi,Anthony Russo|Joe Russo
8,Joker (2019),crime|drama|thriller,Todd Phillips
9,Avengers: Endgame,action|adventure|drama,Anthony Russo|Joe Russo
10,Finding Nemo,animation|adventure|comedy,Andrew Stanton
11,The Dark Knight Rises,action|crime|drama,Christopher Nolan
